,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
308,Европа Центр,real_estate_agent,https://ekb.cian.ru/rent/flat/294945350/,Екатеринбург,rent,flat,4,5,4,98.0,510,50000,0,Кировский, Гагарина,33,Геологическая
309,ID 106118319,homeowner,https://ekb.cian.ru/rent/flat/290954292/,Екатеринбург,rent,flat,4,9,3,50.0,640,32000,0,Верх-Исетский, Татищева,77,Площадь 1905 года
310,Мария Сырова,realtor,https://ekb.cian.ru/rent/flat/282719670/,Екатеринбург,rent,flat,1,16,1,350.0,108,38000,0,мкр. Широкая Речка, Евгения Савкова,23,
311,Константин Стафилов,realtor,https://ekb.cian.ru/rent/flat/294495658/,Екатеринбург,rent,flat,2,12,2,79.0,632,50000,0,Верх-Исетский, Фролова,31,Площадь 1905 года
312,Дмитрий Русин,realtor,https://ekb.cian.ru/rent/flat/294542510/,Екатеринбург,rent,flat,13,16,3,130.0,384,50000,0,Октябрьский, Куйбышева,80к2,Геологическая
313,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/293990485/,Екатеринбург,rent,flat,8,8,3,86.0,697,60000,0,Верх-Исетский, Юмашева,5,Площадь 1905 года
314,ID 12749140,unknown,https://ekb.cian.ru/rent/flat/294852848/,Екатеринбург,rent,flat,14,16,3,81.1,332,27000,0,Железнодорожный, Софьи Перовской,110,Машиностроителей
315,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/294307054/,Екатеринбург,rent,flat,15,25,2,78.0,769,60000,0,Центр, Московская,75,Геологическая
316,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/294533359/,Екатеринбург,rent,flat,12,31,2,45.0,2444,110000,0,Верх-Исетский, Нагорная,12,Площадь 1905 года
317,ID 89705378,realtor,https://ekb.cian.ru/rent/flat/294961551/,Екатеринбург,rent,flat,2,16,2,36.0,833,30000,0,Железнодорожный,переулок Полимерный,13,Машиностроителей
318,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/294846932/,Екатеринбург,rent,flat,17,25,2,86.0,813,70000,0,Верх-Исетский, Московская,66,Геологическая
319,Евгений Давыденко,realtor,https://ekb.cian.ru/rent/flat/294552202/,Екатеринбург,rent,flat,9,25,3,84.0,833,70000,0,Верх-Исетский, Московская,66,Геологическая
320,ID 61692201,homeowner,https://ekb.cian.ru/rent/flat/294980355/,Екатеринбург,rent,flat,10,13,1,40.0,750,30000,0,, Вильгельма де Геннина,33,Геологическая
321,Сергей Гаврин,realtor,https://ekb.cian.ru/rent/flat/265998519/,Екатеринбург,rent,flat,6,20,1,55.0,1545,85000,0,Центр,набережная Олимпийская,9/1,Динамо
322,Гармония Вашего Дома,real_estate_agent,https://ekb.cian.ru/rent/flat/294028970/,Екатеринбург,rent,flat,8,12,1,42.0,523,22000,0,Ленинский,бульвар Академика Н.А. Семихатова,6,Чкаловская
323,ID 82449616,homeowner,https://ekb.cian.ru/rent/flat/295047727/,Екатеринбург,rent,flat,2,9,2,47.4,548,26000,0,Кировский, Сыромолотова,15,
324,Северная казна Бюро,real_estate_agent,https://ekb.cian.ru/rent/flat/294069847/,Екатеринбург,rent,flat,7,9,1,37.0,540,20000,0,Чкаловский, Счастливая,4,
325,Европа Центр,real_estate_agent,https://ekb.cian.ru/rent/flat/289833654/,Екатеринбург,rent,flat,2,20,1,50.0,1700,85000,0,Центр,набережная Олимпийская,9/2,Динамо
326,ID 64876177,realtor,https://ekb.cian.ru/rent/flat/294995038/,Екатеринбург,rent,flat,11,16,1,36.0,694,25000,0,Железнодорожный,переулок Полимерный,13,Машиностроителей
327,Сергей Гаврин,realtor,https://ekb.cian.ru/rent/flat/283425223/,Екатеринбург,rent,flat,3,25,2,65.0,1384,90000,0,Центр,набережная Олимпийская,9/1,Динамо
328,Сергей Гаврин,realtor,https://ekb.cian.ru/rent/flat/268998044/,Екатеринбург,rent,flat,13,27,3,150.0,1000,150000,0,Центр, Шейнкмана,119,Геологическая
329,Сергей Гаврин,realtor,https://ekb.cian.ru/rent/flat/291722377/,Екатеринбург,rent,flat,6,10,3,120.0,458,55000,0,Центр, Сони Морозовой,190,Геологическая
330,Алексей Чернявский,realtor,https://ekb.cian.ru/rent/flat/294973626/,Екатеринбург,rent,flat,8,22,2,68.7,363,25000,0,Центр, Азина,25,Уральская
331,ID 41806265,homeowner,https://ekb.cian.ru/rent/flat/295027445/,Екатеринбург,rent,flat,3,14,2,53.0,792,42000,0,Центр, Шейнкмана,124,Геологическая
332,ID 49611766,unknown,https://ekb.cian.ru/rent/flat/294968925/,Екатеринбург,rent,flat,7,15,1,30.0,1166,35000,0,Октябрьский, Онежская,4,Ботаническая
333,ID 108210685,realtor,https://ekb.cian.ru/rent/flat/294969627/,Екатеринбург,rent,flat,11,25,1,37.0,729,27000,0,Кировский, Блюхера,99,Машиностроителей
334,ID 89705378,realtor,https://ekb.cian.ru/rent/flat/294985358/,Екатеринбург,rent,flat,5,5,2,48.0,479,23000,0,Верх-Исетский, Шаумяна,90,Чкаловская
335,Риэлтерский центр Недвижимость,real_estate_agent,https://ekb.cian.ru/rent/flat/294982345/,Екатеринбург,rent,flat,12,18,2,65.0,615,40000,0,Орджоникидзевский, Красных Командиров,21,Проспект Космонавтов
336,Высота,real_estate_agent,https://ekb.cian.ru/rent/flat/294984440/,Екатеринбург,rent,flat,3,5,2,45.0,577,26000,0,Кировский, Мира,2,Динамо
337,ID 107948037,unknown,https://ekb.cian.ru/rent/flat/294982874/,Екатеринбург,rent,flat,7,22,1,35.0,857,29999,0,Верх-Исетский, Папанина,18,Площадь 1905 года
338,ID 107948037,unknown,https://ekb.cian.ru/rent/flat/294974605/,Екатеринбург,rent,flat,2,10,1,45.0,533,24000,0,Октябрьский, Латвийская,59,Геологическая
339,ID 58293784,unknown,https://ekb.cian.ru/rent/flat/295048480/,Екатеринбург,rent,flat,3,25,1,40.0,625,25000,0,, Академика Парина,31,Чкаловская
340,ID 87164785,homeowner,https://ekb.cian.ru/rent/flat/294881654/,Екатеринбург,rent,flat,4,24,3,70.0,500,35000,0,Ленинский, Амундсена,118,Чкаловская
341,ID 107948037,unknown,https://ekb.cian.ru/rent/flat/294982492/,Екатеринбург,rent,flat,4,10,1,35.0,714,25000,0,Чкаловский, Прониной,27,Ботаническая
342,ID 107948037,unknown,https://ekb.cian.ru/rent/flat/294983828/,Екатеринбург,rent,flat,14,20,1,40.0,625,25000,0,Чкаловский, Рощинская,44,Ботаническая
343,ID 70644988,homeowner,https://ekb.cian.ru/rent/flat/294917910/,Екатеринбург,rent,flat,11,14,3,70.0,500,35000,0,Верх-Исетский, Викулова,48,Геологическая
344,ID 12966308,realtor,https://ekb.cian.ru/rent/flat/295072464/,Екатеринбург,rent,flat,3,9,1,35.0,714,25000,0,Верх-Исетский, Гурзуфская,22,Геологическая
345,ID 20547473,unknown,https://ekb.cian.ru/rent/flat/295027861/,Екатеринбург,rent,flat,4,12,2,48.0,625,30000,0,Верх-Исетский, Викулова,38,Площадь 1905 года
346,ID 108210685,realtor,https://ekb.cian.ru/rent/flat/294986300/,Екатеринбург,rent,flat,6,10,3,110.0,272,30000,0,Кировский,бульвар Сиреневый,4к4,Геологическая
347,Высота,real_estate_agent,https://ekb.cian.ru/rent/flat/294999176/,Екатеринбург,rent,flat,7,9,2,48.0,583,28000,0,Кировский, Сыромолотова,16,Геологическая
