,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
421,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294391396/,Новосибирск,rent,flat,7,9,3,67.0,686,46000,0,Кировский, Комсомольская,21,Студенческая
422,ID 105184090,homeowner,https://novosibirsk.cian.ru/rent/flat/291263291/,Новосибирск,rent,flat,2,5,3,75.0,400,30000,0,Ленинский, Пархоменко,76,Студенческая
423,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294826706/,Новосибирск,rent,flat,3,16,3,83.0,602,50000,0,Заельцовский, Дуси Ковальчук,250,Заельцовская
424,Сфера,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294495879/,Новосибирск,rent,flat,5,9,2,48.0,833,40000,0,Заельцовский,Красный проспект,100/2,Заельцовская
425,ID 460508,realtor,https://novosibirsk.cian.ru/rent/flat/294870719/,Новосибирск,rent,flat,5,9,2,60.0,833,50000,0,Железнодорожный,Коммунистическая ,11,Площадь Ленина
426,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294484002/,Новосибирск,rent,flat,7,16,2,50.0,800,40000,0,Железнодорожный, Салтыкова-Щедрина,128,Площадь Гарина-Михайловского
427,Красный Проспект Недвижимость - Дополнительный Офис,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/293548509/,Новосибирск,rent,flat,8,16,4,141.0,638,90000,0,Центральный, Чаплыгина,93,Площадь Ленина
428,Валентина Ситникова,realtor,https://novosibirsk.cian.ru/rent/flat/294957792/,Новосибирск,rent,flat,3,3,2,40.0,625,25000,0,Советский, Молодости,6,Студенческая
429,Начало перемен,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/293207714/,Новосибирск,rent,flat,5,16,3,100.0,1450,145000,0,Центральный, Чаплыгина,93,
430,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/292766754/,Новосибирск,rent,flat,14,17,2,52.0,961,50000,0,Дзержинский, Адриена Лежена,9/1,
431,Сфера,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295054954/,Новосибирск,rent,flat,10,14,3,74.0,378,28000,0,Первомайский, Заречная,,Речной вокзал
432,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294347347/,Новосибирск,rent,flat,11,17,3,80.0,687,55000,0,Октябрьский,Закаменский мкр,14,
433,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294450529/,Новосибирск,rent,flat,4,16,2,83.0,807,67000,0,Центральный, Чаплыгина,93,
434,ID 109908652,homeowner,https://novosibirsk.cian.ru/rent/flat/295023877/,Новосибирск,rent,flat,5,12,2,52.0,673,35000,0,Железнодорожный, 1905 года,17/2,Площадь Гарина-Михайловского
435,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294808450/,Новосибирск,rent,flat,11,18,2,54.0,648,35000,0,Кировский, Александра Чистякова,4,Студенческая
436,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294642699/,Новосибирск,rent,flat,23,24,2,51.0,529,27000,0,Кировский, Петухова,162,
437,НОВО-НИКОЛАЕВСКЪ-НСК,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/292742855/,Новосибирск,rent,flat,9,16,1,64.5,930,60000,0,Железнодорожный, Урицкого,21,Площадь Ленина
438,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294758932/,Новосибирск,rent,flat,6,12,3,66.0,757,50000,0,Октябрьский,Выборная ,129/1,Золотая Нива
439,ID 91652980,homeowner,https://novosibirsk.cian.ru/rent/flat/294414821/,Новосибирск,rent,flat,8,10,2,75.0,666,50000,0,Ленинский, Котовского,21/1,Площадь Маркса
440,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294901591/,Новосибирск,rent,flat,3,19,2,79.0,455,36000,0,Центральный, Николая Островского,120,Маршала Покрышкина
441,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/293930320/,Новосибирск,rent,flat,3,4,3,113.0,1061,120000,0,Заельцовский,Дачное шоссе,2,Заельцовская
442,Оксана Корнева,realtor,https://novosibirsk.cian.ru/rent/flat/294941247/,Новосибирск,rent,flat,21,27,1,28.8,1111,32000,0,Ленинский, Ясный Берег,27,Речной вокзал
443,СФЕРА 54,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294891069/,Новосибирск,rent,flat,1,10,2,45.0,488,22000,0,Октябрьский, Грибоедова,32/1,
444,Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294763198/,Новосибирск,rent,flat,5,5,2,41.0,682,28000,0,Железнодорожный, Урицкого,7,Площадь Ленина
445,ID 74540089,homeowner,https://novosibirsk.cian.ru/rent/flat/266066794/,Новосибирск,rent,flat,3,7,2,73.0,890,65000,0,Заельцовский,Кедровая ,63,Заельцовская
446,Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294057981/,Новосибирск,rent,flat,10,12,3,77.0,538,41500,0,Центральный,Советская ,56,Красный Проспект
447,Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/292274238/,Новосибирск,rent,flat,4,16,2,56.0,589,33000,0,Дзержинский, Адриена Лежена,27/1,
448,ID 109754432,homeowner,https://novosibirsk.cian.ru/rent/flat/294863608/,Новосибирск,rent,flat,6,18,1,36.0,694,25000,0,Ленинский, Забалуева,102,Площадь Маркса
449,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294283521/,Новосибирск,rent,flat,3,18,1,38.0,342,13000,0,Кировский, Петухова,95/4,
450,Сфера,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294905532/,Новосибирск,rent,flat,2,2,3,63.0,428,27000,0,Заельцовский,Сухарная ,86,Площадь Гарина-Михайловского
451,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/293644499/,Новосибирск,rent,flat,1,9,1,41.0,1219,50000,0,Центральный, Ольги Жилиной,23,
452,ID 90285631,homeowner,https://novosibirsk.cian.ru/rent/flat/294944384/,Новосибирск,rent,flat,10,27,1,46.0,695,32000,0,Октябрьский, Лескова,23,Октябрьская
